age,d18O
18.050,-42.90
18.070,-42.77
18.090,-42.99
18.110,-40.60
18.130,-40.68
18.150,-40.98
18.170,-42.25
18.190,-41.83
18.210,-41.63
18.230,-44.35
18.250,-42.17
18.270,-40.74
18.290,-43.78
18.310,-42.40
18.330,-43.02
18.350,-42.35
18.370,-41.89
18.390,-42.12
18.410,-42.25
18.430,-42.82
18.450,-40.04
18.470,-42.21
18.490,-41.75
18.510,-39.92
18.530,-40.92
18.550,-42.85
18.570,-41.37
18.590,-40.41
18.610,-40.96
18.630,-40.12
18.650,-41.70
18.670,-41.13
18.690,-41.01
18.710,-42.66
18.730,-42.25
18.750,-41.46
18.770,-41.24
18.790,-40.87
18.810,-41.97
18.830,-40.39
18.850,-40.26
18.870,-42.36
18.890,-42.09
18.910,-40.85
18.930,-42.11
18.950,-41.29
18.970,-42.16
18.990,-40.04
19.010,-42.61
19.030,-41.81
19.050,-42.03
19.070,-41.50
19.090,-42.48
19.110,-42.75
19.130,-41.38
19.150,-43.74
19.170,-42.52
19.190,-40.54
19.210,-43.75
19.230,-41.23
19.250,-42.72
19.270,-40.42
19.290,-41.28
19.310,-41.68
19.330,-41.75
19.350,-42.86
19.370,-43.07
19.390,-42.36
19.410,-40.85
19.430,-41.35
19.450,-42.17
19.470,-41.37
19.490,-42.65
19.510,-40.93
19.530,-42.56
19.550,-40.46
19.570,-40.83
19.590,-40.89
19.610,-41.84
19.630,-39.93
19.650,-41.50
19.670,-42.05
19.690,-41.43
19.710,-41.40
19.730,-41.63
19.750,-42.80
19.770,-43.02
19.790,-41.40
19.810,-40.22
19.830,-40.69
19.850,-41.43
19.870,-40.66
19.890,-41.60
19.910,-42.62
19.930,-42.14
19.950,-42.66
19.970,-41.97
19.990,-41.69
20.010,-42.76
20.030,-42.71
20.050,-41.33
20.070,-42.68
20.090,-42.01
20.110,-42.60
20.130,-42.19
20.150,-42.79
20.170,-40.37
20.190,-41.40
20.210,-42.46
20.230,-42.54
20.250,-41.92
20.270,-42.38
20.290,-43.13
20.310,-41.86
20.330,-43.12
20.350,-44.51
20.370,-42.45
20.390,-43.21
20.410,-43.52
20.430,-42.04
20.450,-41.92
20.470,-43.20
20.490,-43.36
20.510,-44.97
20.530,-42.52
20.550,-42.06
20.570,-41.89
20.590,-42.42
20.610,-40.62
20.630,-40.09
20.650,-43.60
20.670,-42.12
20.690,-39.93
20.710,-42.75
20.730,-42.39
20.750,-42.98
20.770,-40.72
20.790,-43.35
20.810,-42.55
20.830,-42.08
20.850,-43.27
20.870,-42.27
20.890,-43.93
20.910,-42.95
20.930,-43.09
20.950,-44.85
20.970,-43.50
20.990,-42.52
21.010,-42.26
21.030,-43.68
21.050,-43.31
21.070,-42.63
21.090,-41.83
21.110,-42.08
21.130,-41.92
21.150,-43.89
21.170,-42.88
21.190,-43.91
21.210,-42.58
21.230,-42.68
21.250,-41.02
21.270,-41.96
21.290,-42.42
21.310,-43.83
21.330,-42.06
21.350,-42.52
21.370,-43.75
21.390,-41.22
21.410,-42.34
21.430,-43.06
21.450,-44.58
21.470,-41.88
21.490,-42.04
21.510,-42.86
21.530,-42.10
21.550,-41.02
21.570,-42.87
21.590,-41.93
21.610,-43.40
21.630,-42.04
21.650,-41.60
21.670,-44.16
21.690,-43.94
21.710,-42.49
21.730,-43.68
21.750,-43.51
21.770,-43.10
21.790,-42.76
21.810,-43.59
21.830,-43.13
21.850,-41.36
21.870,-41.90
21.890,-42.24
21.910,-42.45
21.930,-42.68
21.950,-42.60
